ID,Nr_NHP,Included_alignment,ID_DEPAVE,ID_SINAN,ID_Sigh,ID_Sigh_virology,ID_Pool_Mosquitoes,LOCATION,ZONE_PEAL,ADDRESS,Location,Latitude,Longitude,Time,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,RT_PCR_Ct,Collection,Transport_institute,Collected_by,Popular_name,Species,Number_individuals,Sex,Age_class,Photo_record,Height,Technique,Notes,Notes_2,Necropsy_material_collection_by,Cause_of_death,TCE,Main_pathological_alterations,IHQ_Report,PCR_Report,Rabies_Report,Final_Report,STATUS,MULTIPLEX_PCR_SEQUENCING,MULTIPLEX_PCR_BARCODE_NUMBER,MULTIPLEX_PCR_LIBRARY_NAME,MULTIPLEX_PCR_Nb of reads mapped,Average depth coverage,MULTIPLEX_PCR_Bases covered >10x,MULTIPLEX_PCR_Bases covered >25x,MULTIPLEX_PCR_Reference covered (%),SMART_9N_SEQUENCING,Lab_number,Qubit ,SMART_9N_BARCODE_NUMBER,SMART_9N_LIBRARY_NAME,SMART_9N_Nb of reads ,N50,SMART_9N_Nb of reads mapped,SMART_9N_% of reads mapped,SMART_9N_Average depth coverage,Identity,SMART_9N_Bases covered >10x,SMART_9N_Bases covered >20x,SMART_9N_Reference covered_10 (%),SMART_9N_Reference covered_20 (%),KRAKEN2_DISCOVERY,Reference_genome
1,2067,,72232,5732718,2183317B,01/26203,,Norte,Vila Amália,"Rua General Isidoro Dias Lopes, 600 - Vila Amália - CEP: 02618-290 - São Paulo - SP",Campo do Guarani,"-23,464568","-46,6488902",11:30,?06/10/2017,09/10/2017,09/10/2017,Médio (3 a 5 dias),POSITIVO,Não tem,Positivo,missing,Sim,GCM-DEPAVE,Paulo/Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Jovem,ok,N/A,N/A,1º epizootia confirmada RMSP,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Autólise avançada,não tem,sim,não enviado - ok,sim,Sequenced,,,,,,,,,Sequenced,NA,"5,68",BC11/BC11/BC14,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"367,336",400,"23,288",6.340,"1,175.25",95.1,10849,10848,99.908,99.899,-,JF912190.1
2,,,NÃO,NÃO,,,,,Vila Amália,,Campo do Guarani,,,09:30,? 11/10/2017,21/10/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,,Não,Não,"Ze, Paulo/Márcio",,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,There_was_no_collection NEM NOTIFICAÇÃO,,Não,Não,#N/A,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,NÃO,NÃO,,,,,Vila Amália,,Campo do Guarani,,,09:30,? 11/10/2017,21/10/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,,Não,Não,"Ze, Paulo/Márcio",,Alouatta guariba clamitans,N/A,Fêmea,Adulta,ok,N/A,N/A,There_was_no_collection NEM NOTIFICAÇÃO,,Não,Não,#N/A,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,72787,5732738,,,,Norte,Sede-IF,"Av. Santa Inês, 2000 - Jardim Peri - CEP: 02611-001 - São Paulo - SP",Av. Santa Inês,"-23,4648443","-46,6340698",11:15,29/10/2017,29/10/2017,29/10/2017,Íntegro (vivo _ 0 a 2 dias),NEGATIVO,Negativo,Negativo,,Sim,PAMB,Thais/Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,Animal atropelado,"so acha por Av. Santa Inês, 2000 - Jardim Carlu, São Paulo - SP, 02423-030, Brasil",M.V. Thaís Sanches,Traumatismo e choque neurogênico,X,"Fratura craniana associada a herniação e hemorragia em encéfalo, fratura de mandíbula, secreção amarelada sobre superfície pulmonar",sim,sim,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,72959,5742751,,,,Norte,Sede-IF,"P.E. Albert Lofgren - Rua do Horto, 931 - Horto Florestal - CEP: 023770-000 - São Paulo - SP",Casa do Zé Menino,"-23,4598158","-46,6361394",18:30,03/11/2017,03/11/2017 ou 04/11/2017,04/11/2017,Íntegro (vivo_0 a 2 dias),NEGATIVO,Negativo,Negativo,,Sim,GCM-DEPAVE,Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Jovem,ok,N/A,N/A,9 Cães no Quintal casa do Zé Menino,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,Inconclusiva,-,"Área enegrecida em lobo pulmonar, congestão discreta de vasos de meninge",sim,sim,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,73780,4304031,,,,Norte,Vila Amália,"P.E. Albert Lofgren - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Proximo a lombada eletrônica (Av. Parada Pinto),"-23,4598158","-46,6361394",09:00,?30/11/2017,03/12/2017,03/12/2017,Médio (3 a 5 dias),NEGATIVO,Negativo,Negativo,,Sim,GCM-DEPAVE,Zé,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Jovem,ok,N/A,N/A,No dia anterior encontrava-se machucado,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,Indeterminada por autólise,-,Autólise avançada,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2707,,74070,4304052,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",São João Gualberto,"-23,4598158","-46,6361394",08:30,12/12/2017,12/12/2017,12/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"11,25",Sim,GCM-DEPAVE,"Thalita, Zé, Márcio, Katherine, Paulo",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Macho alfa do grupo,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia, efusão pericárdica e peritoneal",sim,sim,,sim,Sequenced,Sequenced,BC24,YFV_Lib02Rep_20220516,66260,2344.55,10224,9998,86.9693,Sequenced,37,"43,8",BC14,YFV_metagenomics_1,95800,515,13739,14.34,583.07,94.9,10847,10847,99.880,99.880,-,JF912190.1
8,,,NÃO,NÃO,,,,,Uso Público,,Bica do Fundo,,,10:50,?10/12/2017,15/12/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,,Não,Não,"Thalita, Márcio",,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Local de difícil acesso barranco mato,,Não,Não,#N/A,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2684,,74192,4304059,2195568F,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",15:02,16/12/2017,16/12/2017,16/12/2017 ou 17/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,11,Sim,GCM-DEPAVE,Thalita,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Jovem,ok,N/A,N/A,-,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepato e nefropatia, Vários órgãos friáveis - autolisados, hepatopatia, lobos pulmonares avermelhados",sim,sim,,sim,Sequenced,Sequenced,BC07,YFV_horto,14852,691.064,10210,10023,83.0924,Sequenced,7,"50,8",BC07,YFV_metagenomics_2,"407,008",491,"48,210",11.845,"2,196.40",95.4,10849,10849,99.908,99.908,-,JF912190.1
10,,,74213,4304063,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Casa 04,"-23,4598158","-46,6361394",16:30,15/12/2017,15/12/2017 ou 17/12/2017,17/12/2017,Íntegro (vivo _0 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,GCM-DEPAVE,Márcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Atrás da base da PM,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,"Esplenomegalia, hepatopatia, hemorragia pulmonar, ascite, hidropericárdio",sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
